"","assess","enjoyment","education","age","workerid","comments","language","gender"
"1","Yes",2,3,26,0,NA,"english","Male"
"2","Yes",1,3,32,1,"nice","english","Female"
"3","Yes",2,3,30,2,"a very interesting task although the last bit was a little tricky","English","Male"
"5","Yes",2,3,35,4,"i think the second was very confusing. the word part. i loved and enjoyed generally though","english","Male"
"6","Yes",2,1,29,5,"This was a really cool experiment, thank you. Funner than the average Mturk hit!","English","Female"
"9","Yes",2,3,30,8,NA,"English","Female"
"10","Yes",1,3,37,9,NA,"english","Male"
"11","Yes",2,1,65,10,NA,"ENGLISH","Female"
"12","Yes",2,3,36,11,"I still don't quite understand the overlapping instructions on the pac man portion.  I've never seen instructions presented that way.  Thanks!","English","Male"
"16","Yes",2,1,47,15,"Thank you, fun hit. ","English","Female"
"17","Yes",1,4,30,16,"very nice","english","Female"
"18","Yes",2,2,57,17,"that was a fun hit, I like something that makes you think!!","english","Female"
"19","Yes",2,3,53,18,NA,"English","Female"
"20","Yes",2,4,27,19,NA,"english","Male"
"21","Yes",2,2,46,20,NA,"English","Female"
"22","Yes",1,2,51,21,"Little confused in the pack man task but OK.","English","Male"
"23","Yes",2,2,43,22,"An odd mix of things, but very interesting.","English","Male"
"24","Yes",2,3,24,23,NA,"English","Female"
"26","Yes",2,2,29,25,"none","English","Male"
"27","Yes",2,3,27,26,NA,"English","Male"
"28","Yes",1,3,37,27,"n","English","Male"
"29","Yes",2,4,37,28,"Challenging and fun. I would do this HIT like this again.","English","Male"
"30","Yes",1,2,32,29,NA,"English","Male"
"32","Yes",2,3,28,31,NA,"English","Male"
"33","Yes",2,3,35,32,"very interesting","english","Male"
"34","Yes",2,3,45,33,"It was a Fun Survey! Thanks for the survey. ","English","Male"
"35","Yes",2,3,32,34,"it was fun and engaging","English","Male"
"36","Yes",1,0,48,35,"N/A","English","Female"
"37","Yes",2,1,34,36,NA,"English","Male"
"38","Yes",1,2,40,37,NA,"English","Female"
"40","Yes",2,4,69,39,"interesting and engaging","English","Female"
"41","Yes",2,2,65,40,"I liked the pacman section.....","English","Female"
"42","Yes",2,3,46,41,"This game is very interesting.","English","Male"
"43","Yes",2,3,30,42,"GOOD","English","Male"
"44","Yes",1,3,27,43,NA,"English","Female"
"46","Yes",2,1,32,45,"fun!","english","Female"
"47","Yes",2,1,58,46,NA,"English","Female"
"49","Yes",1,3,35,48,NA,"English","Female"
"51","Yes",2,3,34,50,NA,"English","Female"
"53","Yes",2,3,32,52,"I actually enjoyed this HIT as it was fun and engaging. ","English","Male"
"54","Yes",1,2,55,53,"no comments","English","Male"
